Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,597,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,598,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,599,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,600,1412619793,10,1695.06,12,688.157,6,705.433,6,326.844,8,985.011,8,709.912,9,506.777,13,1287.8,7,620.781,8,589.696
13,601,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,602,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,603,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,604,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,605,1412619793,1,1695.06,11,631.848,13,1695.06,5,270.535,11,1381.78,9,766.222,8,450.467,9,917.911,9,858.235,9,646.006
13,606,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,607,1412619793,1,1695.06,11,631.848,13,1695.06,5,270.535,11,1381.78,9,766.222,8,450.467,9,917.911,9,858.235,9,646.006
13,608,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,609,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,610,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,611,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,612,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,613,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,614,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
