Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,51,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,52,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,53,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,54,1412619790,1,6786.77,2,84.1838,3,926.701,7,1299.94,12,6398.98,9,3698.86,2,84.1838,2,84.1838,3,299.48,7,1299.94
13,55,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,56,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,57,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,58,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,59,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,60,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,61,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,62,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,63,1412619790,12,6786.77,8,1585.95,2,454.978,13,2953.52,3,1323.05,10,4170.58,5,740.198,12,5361.74,11,2765.04,12,3044.45
13,64,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,65,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,66,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,67,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,68,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,69,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,70,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,71,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
