Experiment,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
622,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
623,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
624,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
625,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
626,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
627,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
628,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
629,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
630,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
631,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
632,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
633,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
634,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
635,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
636,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
637,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
638,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
639,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
640,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
641,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
642,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
643,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
644,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
645,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
646,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
647,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
648,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
649,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
650,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
651,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
652,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
653,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
654,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
655,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
656,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
657,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
658,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
659,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
660,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
661,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
662,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
663,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
664,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
665,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
666,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
667,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
668,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
669,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
670,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
671,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
672,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
673,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
674,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
675,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
676,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
